school,latitude,longitude,income,score,%Proficient  or Above (ACT MATH),%Proficient  or Above (ACT ELA),Total,White No,Black No,Native American No,Latinx No,Multiracial No,Asian No,Hawaiian No,Other No,Middle Eastern No,Minority Percent
Acero Charter Network - Major Garcia,41.80917079,-87.73046685,64809,970,5.8,24.1,655,8,4,3,637,1,2,0,0,0,0.98778626
Acero Charter School Network - Victoria,41.80176225,-87.71102498,64809,1010,4.3,15.2,551,1,0,1,549,0,0,0,0,0,0.998185118
Air Force Acad High School,41.82814532,-87.63275698,58896,980,6.9,17.2,130,4,72,0,52,1,0,1,0,0,0.969230769
Alcott College Prep,41.93579456,-87.68056201,106384,980,11.9,15.3,363,50,56,3,242,5,5,2,0,0,0.862258953
Amundsen High School,41.97506726,-87.67948421,85703,1090,52.5,72.7,1427,651,91,1,529,59,92,3,0,1,0.543798178
ASPIRA Charter - Early College Pr,41.93729829,-87.72709566,106384,920,7.8,18.8,279,5,7,0,267,0,0,0,0,0,0.982078853
Austin College and Career Acad HS,41.88599329,-87.76191637,40950,1090,2.9,5.9,140,0,115,1,24,0,0,0,0,0,1
Back of The Yards IB HS,41.80841254,-87.67754137,58896,1060,28.7,49.1,1015,9,15,3,981,0,7,0,0,0,0.991133005
Bogan High School,41.74937561,-87.72109745,80020,950,4.3,10.3,599,7,300,3,282,2,0,2,3,0,0.988313856
Bronzeville Scholastic HS,41.80520417,-87.62500447,63876,930,0,14.3,114,0,106,0,7,0,0,1,0,0,1
Carver Military Academy HS,41.65628995,-87.59062039,37217,950,7.3,15.6,416,8,174,1,230,3,0,0,0,0,0.980769231
Chicago Academy High School,41.94305449,-87.77684657,8853,1010,24.1,53.8,577,91,29,3,441,2,7,4,0,0,0.842287695
Chicago HS for Agricult Sciences,41.69122074,-87.71776967,114723,1070,28.3,59,758,167,392,1,181,10,6,1,0,0,0.779683377
Chicago HS for the Arts,41.89937657,-87.69494501,136277,1060,22.3,58.9,577,93,220,3,236,13,7,1,4,0,0.838821491
Chicago Military Academy HS,41.83055498,-87.61921554,40666,970,5.9,23.5,195,1,137,2,52,0,2,0,1,0,0.994871795
Chicago Technology Academy HS,41.86330141,-87.6590948,73366,1000,1.1,13.8,328,3,284,0,38,3,0,0,0,0,0.990853659
Chicago Vocational Career Acad HS,41.73717393,-87.57326752,51778,940,1.9,7.8,579,4,508,0,62,1,0,0,4,0,0.993091537
CICS - Northtown Campus,41.99024501,-87.72650426,68704,1050,17.7,33.5,872,118,63,4,508,6,160,7,0,6,0.864678899
CICS - Ralph Ellison Campus,41.74838241,-87.66897964,48146,990,2,22,229,0,220,0,7,1,0,0,1,0,1
Clark Acad Prep Magnet High Schl,41.87288501,-87.75332487,40950,920,1.5,12.3,445,0,436,0,9,0,0,0,0,0,1
Clemente Community Academy HS,41.90262579,-87.68690615,136277,900,2.4,13,673,19,178,0,466,6,3,1,0,0,0.971768202
Collins Academy STEAM High School,41.86414857,-87.70204159,51878,930,3.6,10.7,198,1,194,1,2,0,0,0,0,0,0.994949495
Corliss High School,41.70665962,-87.60121588,54644,960,1.2,10.8,364,2,314,0,44,3,0,1,0,0,0.994505495
Crane Medical Prep HS,41.87694744,-87.68330135,60922,970,5.4,13.5,283,1,233,0,47,2,0,0,0,0,0.996466431
Curie Metropolitan High School,41.80306021,-87.72204165,64809,1000,23.2,33.6,2888,38,237,8,2539,6,60,0,0,0,0.986842105
Douglass Academy High School,41.89036863,-87.76766846,40950,880,,,28,0,27,0,1,0,0,0,0,0,1
Dunbar Vocational Career Acad HS,41.84022557,-87.61763743,73819,970,2.8,5.6,334,1,321,0,10,1,1,0,0,0,0.997005988
Englewood STEM High School,41.77024998,-87.63685077,31905,940,1.6,10.3,631,2,498,0,126,1,0,4,0,0,0.996830428
EPIC Academy High School,41.74484911,-87.55022237,51778,970,13,37,242,2,126,0,113,0,0,1,0,0,0.991735537
Farragut Career Academy HS,41.84855987,-87.70870563,51878,950,6.1,24.4,435,2,48,1,381,0,1,0,2,0,0.995402299
Fenger Academy High School,41.68995073,-87.63757205,54644,900,1.9,5.6,196,2,179,1,14,0,0,0,0,0,0.989795918
Foreman High School,41.93979677,-87.75416654,83758,920,4.3,11.3,563,23,68,2,462,1,7,0,0,0,0.959147425
Gage Park Acadmey,41.79101284,-87.68895394,60826,900,1.1,6.7,342,5,58,0,279,0,0,0,0,0,0.985380117
Goode STEM Academy HS,41.7537498,-87.70734535,80020,960,9,22.9,967,14,300,2,649,1,0,1,0,0,0.985522234
Hancock College Preparatory HS,41.79146391,-87.72447046,91070,1150,71.8,93,1043,73,14,2,929,4,7,1,13,0,0.930009588
Harlan Community Academy HS,41.71837235,-87.62062344,54644,950,3.2,12.9,159,0,148,0,8,2,0,1,0,0,1
Hirsch Metropolitan High School,41.75374796,-87.60172727,45206,930,8,4,102,2,90,0,10,0,0,0,0,0,0.980392157
Hubbard High School,41.78052639,-87.71801374,60826,980,9.1,33.4,1588,15,67,5,1500,1,0,0,0,0,0.990554156
Hyde Park Academy High School,41.78225693,-87.58661501,43609,920,0.6,12.7,755,0,730,0,13,3,0,0,9,0,1
IHSCA Charter High School,41.84596659,-87.68724016,73366,970,8.8,15.4,562,5,18,1,538,0,0,0,0,0,0.991103203
Infinity Math Science & Tech HS,41.83616882,-87.73527796,51878,1020,28.7,50,409,5,15,1,387,0,0,1,0,0,0.987775061
Jones College Prep High School,41.87306592,-87.62767532,123922,1320,86,92,1939,556,246,10,659,80,382,5,1,0,0.713254255
Juarez Community Academy HS,41.85267014,-87.66433931,73366,990,14.1,36.9,1520,21,34,4,1443,1,11,1,5,0,0.986184211
Julian High School,41.70585894,-87.65374921,80852,940,1,6.1,404,1,384,3,13,1,0,1,1,0,0.997524753
Kennedy High School,41.78996125,-87.78083976,91070,1030,16.2,37.3,1550,178,70,0,1282,5,12,1,2,0,0.88516129
King College Prep High School,41.81367545,-87.60387386,40666,1020,16.5,40.4,799,3,764,1,24,4,2,1,0,0,0.996245307
Lake View High School,41.95476407,-87.66895269,95572,1030,14.2,35.6,1369,95,172,9,1014,26,46,1,6,0,0.930606282
Legal Prep Academy Charter HS,41.88173276,-87.73377838,34030,940,4.2,4.2,216,0,210,0,5,1,0,0,0,0,1
Lincoln Park High School,41.91826831,-87.64600936,136448,1180,50.6,75.4,2179,665,467,8,642,83,276,7,31,0,0.694814135
Manley Career Academy High School,41.87093896,-87.69989559,60922,910,0,2.4,128,0,117,0,10,1,0,0,0,0,1
Marshall Metropolitan High School,41.87844409,-87.70805007,34030,1010,1.9,9.4,199,0,178,0,17,2,1,0,1,0,1
Mather High School,41.98758868,-87.7024964,68704,1060,20.9,33.3,1665,212,248,5,826,18,352,4,0,0,0.872672673
Multicultural Acad of Scholarship HS,41.83528187,-87.7352833,51878,970,4.8,17.7,276,3,48,0,225,0,0,0,0,0,0.989130435
Noble St Chtr - Mansueto,41.80798719,-87.69705748,64809,1040,18.3,35.8,1087,7,5,6,1068,0,0,1,0,0,0.993560258
Noble St Chtr Rauner College Prep,41.89242501,-87.66085887,143175,1050,11,29.2,556,17,152,3,380,3,1,0,0,0,0.96942446
Noble St Chtr-Baker Campus,41.73462237,-87.55620144,51778,990,8.8,22.8,283,1,237,0,44,1,0,0,0,0,0.996466431
Noble St Chtr-Butler - Crimson,41.70666686,-87.60257332,54644,980,7.7,25,691,1,654,0,32,3,0,0,1,0,0.998552822
Noble St Chtr-Chicago Bulls Prep,41.87880881,-87.67819526,60922,1070,16.1,37.6,1067,12,615,5,432,2,1,0,0,0,0.988753515
Noble St Chtr-DRW Trading Col,41.86932808,-87.71165423,34030,1010,13.4,10.4,317,1,309,0,6,1,0,0,0,0,0.996845426
Noble St Chtr-Golder College Prep,41.89528219,-87.664483,143175,1050,16,31.3,643,15,181,2,440,4,1,0,0,0,0.976671851
Noble St Chtr-Hansberry Prep Slvr,41.73444162,-87.65098673,48146,1000,7.1,26.2,528,0,516,0,8,4,0,0,0,0,1
Noble St Chtr-ITW Speer Acad,41.91726641,-87.75967517,61089,1110,22.1,42.3,1130,16,102,5,1002,1,2,0,2,0,0.985840708
Noble St Chtr-Johnson Colg Prep,41.7783695,-87.6351167,31905,1000,4.1,23.6,505,2,477,2,23,0,0,1,0,0,0.996039604
Noble St Chtr-Muchin College Prep,41.88274026,-87.62633828,126202,1090,14,35.8,916,10,451,2,411,0,40,1,1,0,0.989082969
Noble St Chtr-Noble Campus,41.90019052,-87.66262778,143175,1100,28.7,54.1,685,20,118,3,527,6,10,0,1,0,0.97080292
Noble St Chtr-Pritzker Col Prep,41.91521411,-87.73012671,61089,1130,20.2,39.9,989,8,54,9,912,0,6,0,0,0,0.991911021
Noble St Chtr-Rowe-Clark MS Acad,41.89536226,-87.71804677,54409,1030,7.3,14.6,311,1,274,0,35,1,0,0,0,0,0.996784566
Noble St Chtr-The Noble Academy,41.9068788,-87.64557694,105226,1040,15,42.9,402,4,206,2,174,7,8,1,0,0,0.990049751
Noble St Chtr-UIC College Prep,41.86581741,-87.67611093,73366,1060,13.7,36.5,949,15,444,2,429,7,50,2,0,0,0.984193888
North Lawndale Prep Chtr - Christ,41.85856355,-87.70898711,51878,850,3.2,7.9,251,1,243,0,7,0,0,0,0,0,0.996015936
North Lawndale Prep Chtr-Collins,41.86414584,-87.7006806,51878,970,5.2,5.2,268,1,257,0,8,0,0,0,2,0,0.996268657
North-Grand High School,41.91167369,-87.73523756,61089,970,11.1,25.3,1015,8,202,4,790,3,4,2,0,2,0.992118227
Northside College Preparatory Hs,41.98131528,-87.7087078,85703,1390,89.7,95.8,1063,376,64,3,300,48,248,6,18,0,0.646284102
Ogden Int High School,41.89354764,-87.65940468,143175,1040,20.9,51.4,514,60,242,0,193,8,9,0,2,0,0.883268483
Orr Academy High School,41.89454672,-87.72665959,34030,920,0,0,302,5,147,0,146,1,1,2,0,0,0.983443709
Payton College Preparatory HS,41.90157517,-87.63538477,105226,1420,92,93.5,1257,401,117,4,328,57,348,2,0,0,0.680986476
Perspectives Chtr - HS of Tech,41.73752473,-87.62649482,48146,950,1.3,21.5,312,0,304,0,7,1,0,0,0,0,1
Phillips Academy High School,41.82387997,-87.61979635,40666,920,2.3,10.6,402,1,370,0,19,2,0,2,8,0,0.997512438
Phoenix Military Academy HS,41.87911823,-87.68696022,60922,1020,13.9,34.7,367,10,56,0,295,1,4,1,0,0,0.972752044
Prosser Career Academy HS,41.9200594,-87.76104832,61089,1020,11.9,39.6,1165,14,261,4,880,1,4,1,0,0,0.987982833
Raby High School,41.88621006,-87.71542312,34030,880,0,0,110,1,95,1,12,0,0,0,1,0,0.990909091
Richards Career Academy HS,41.80288138,-87.66227785,58896,940,1.4,2.7,305,1,84,2,202,0,0,0,16,0,0.996721312
Rickover Naval Academy High Schl,41.95759899,-87.76993752,8853,1020,17.2,30.2,525,82,12,0,412,9,9,1,0,0,0.843809524
Roosevelt High School,41.96482788,-87.71481862,85703,940,5.8,20.1,1055,38,57,3,851,10,84,1,11,0,0.963981043
School of Social Justice HS,41.83350728,-87.73529947,51878,980,4.7,25,253,1,44,0,207,0,1,0,0,0,0.996047431
Schurz High School,41.94636454,-87.73561211,83758,990,11.1,15.9,1127,53,87,9,943,11,21,3,0,0,0.952972493
Senn High School,41.98902854,-87.66713619,67479,1080,26.3,45.3,1496,269,350,9,601,34,219,2,12,0,0.820187166
Simeon Career Academy High School,41.74578123,-87.63541037,48146,940,9.9,16.3,1052,1,1026,2,17,6,0,0,0,0,0.99904943
Solorio Academy High School,41.79520056,-87.71105882,64809,1100,27.7,39.9,1252,12,12,5,1216,2,5,0,0,0,0.990415336
South Shore Intl Col Prep HS,41.75879166,-87.57635264,44175,970,35.9,57.3,595,2,569,0,20,1,0,0,3,0,0.996638656
Spry Community Links High School,41.84776169,-87.69894611,51878,990,0,4.5,82,0,2,1,79,0,0,0,0,0,1
Steinmetz College Prep HS,41.93563359,-87.78351523,8853,970,6.7,18.1,1059,77,178,6,789,1,7,1,0,0,0.927289896
Sullivan High School,42.00268756,-87.66919215,59713,960,11.2,12.5,713,112,213,2,267,11,82,1,9,16,0.842917251
Thomas Kelly College Preparatory,41.81872906,-87.69463866,64809,1040,10.5,23,1604,22,29,2,1383,2,166,0,0,0,0.986284289
Tilden Career Communty Academy HS,41.80751007,-87.64296648,58896,990,0,9.4,239,17,81,0,135,2,2,0,2,0,0.928870293
Uplift Community High School,41.96554746,-87.65247335,71030,880,0,12.5,226,8,137,1,71,2,6,0,1,0,0.96460177
Urban Prep Chtr Acad Englewood HS,41.78149782,-87.63435669,31905,920,0,19,87,0,81,0,5,0,0,0,1,0,1
Urban Prep Chtr Bronzeville HS,41.83111753,-87.61362865,73819,980,3.1,15.6,143,0,135,0,4,0,0,0,4,0,1
Von Steuben Metro Science HS,41.97318505,-87.71338625,85703,1120,45.3,66.3,1675,301,143,5,924,31,258,13,0,0,0.820298508
Walter Henri Dyett HS for Arts,41.80120417,-87.61223911,63876,930,4.5,7.6,516,2,498,1,13,1,0,0,1,0,0.996124031
George Washington High School,41.68813694,-87.5375703,51778,1020,9.9,29.3,1468,49,101,3,1307,6,1,1,0,0,0.966621253
Wells Community Academy HS,41.89899471,-87.66748287,136277,960,0,10.2,366,31,141,1,182,6,3,0,2,0,0.915300546
Westinghouse College Prep,41.8899772,-87.70733231,34030,1100,31.6,58,1226,33,573,3,522,17,76,2,0,0,0.973083197
Williams Medical Prep High Sch,41.8061176,-87.62502998,63876,900,0,25,72,0,69,0,1,2,0,0,0,0,1
World Language High School,41.83439662,-87.73529222,51878,970,6.6,37.7,377,4,14,0,359,0,0,0,0,0,0.98938992
 YCCS-Innovations of Arts Integr ,41.88304717,-87.62773415,126202,920,#N/A,#N/A,395,5,349,1,38,2,0,0,0,0,0.987341772
YCCS-Latino Youth Alternative HS,41.85466466,-87.69543001,73366,920,#N/A,#N/A,168,2,6,1,159,0,0,0,0,0,0.988095238
YCCS-McKinley-Lakeside Leadership,41.84133117,-87.62533077,73819,1100,#N/A,#N/A,92,0,90,0,1,1,0,0,0,0,1
YCCS-Olive Harvey Mid College HS,41.7129221,-87.5923332,54644,990,#N/A,#N/A,122,0,106,0,16,0,0,0,0,0,1
YCCS-Progressive Leadership Acad,41.77416955,-87.6158421,43609,1110,#N/A,#N/A,114,1,113,0,0,0,0,0,0,0,0.99122807
YCCS-Truman Middle College HS,41.96529482,-87.65923929,71030,980,#N/A,#N/A,177,15,41,1,88,2,28,1,1,0,0.915254237
YCCS-West Town Academy Alt HS,41.89080312,-87.7020528,60922,840,#N/A,#N/A,105,1,79,0,23,2,0,0,0,0,0.990476191
YCCS-Youth Connection Leadership,41.83207206,-87.62678147,64809,1010,#N/A,#N/A,102,1,76,0,25,0,0,0,0,0,0.990196078
