school,latitude,longitude,white,asian,black,hispanic,other,minority,score,income,funding,enrollment
Abraham Lincoln Senior High,34.0748365,-118.2037173,12,172,17,700,12,0.986856517,1130,63090,11451775,913
Alexander Hamilton Senior High,34.0341033,-118.3901689,257,64,509,1128,96,0.874878286,1120,105701,21169504,2054
Arleta Senior High,34.2508849,-118.4416861,14,13,6,990,13,0.986486486,1020,84227,12133275,1036
Augustus Hawkins Senior High,33.9857559,-118.2880305,30,3,182,898,9,0.973262032,940,53302,15517701,1122
Bell Senior High,33.9740289,-118.1900446,105,6,7,1954,16,0.949712644,1050,60927,25403076,2088
Belmont Senior High,34.0620315,-118.2629618,14,33,15,537,15,0.977198697,960,87334,7536537,614
Benjamin Franklin High School,34.1159125,-118.1984264,53,35,15,1162,15,0.95859375,1070,95282,14125926,1280
Canoga Park Senior High,34.1954438,-118.6046542,88,48,36,1202,15,0.936645068,1030,74474,18994997,1389
Carson Senior High,33.8222148,-118.2739972,47,203,238,808,110,0.966571835,1040,107988,13568826,1406
Cesar E Chavez Learning Academy - Technology Preparatory Aca,34.2887174,-118.4209490,1,2,4,407,6,0.997619048,1020,85261,4907375,420
Chatsworth Charter High School,34.2534197,-118.5860233,264,263,85,1049,81,0.848450057,1120,119386,16386512,1742
Diego Rivera Learning Complex Public Service Community,33.9839666,-118.2557799,2,0,10,442,3,0.995623632,940,60767,6031192,457
Downtown Computer Sci/Digital Media Arts/Eng Magnet,34.0613973,-118.2550350,31,275,19,470,24,0.962148962,1160,87334,9219759,819
Dr Maya Angelou Community Senior High,33.9940815,-118.2679108,12,0,66,886,7,0.987641607,930,59017,12905923,971
Dr Richard A Vladovic Harbor Teacher Preparation Academy,33.7845464,-118.2846844,11,124,55,237,25,0.975663717,1200,60847,4615272,452
Early College Academy - LA Trade Tech College,34.0328095,-118.2698835,5,1,12,248,6,0.981617647,1000,69268,2682602,272
East Valley Senior High,34.1707164,-118.3714877,50,12,19,464,13,0.910394265,960,79607,6493769,558
Boyle Heights Hilda Solis High,34.0394591,-118.1718210,3,1,3,248,1,0.98828125,990,67967,2099532,256
Edward R Roybal Learning Center,34.0613973,-118.2550350,15,40,33,1016,26,0.986725664,980,87334,12922394,1130
Esteban Torres HS - East Los Angeles Renaissance Academy,34.0417924,-118.1755193,4,2,5,344,0,0.988732394,940,72942,5980017,355
Fairfax Senior High,34.0827203,-118.3598859,165,213,197,873,47,0.889632107,1140,96250,16316623,1495
Felicitas And Gonzalo Mendez Senior High,34.0484881,-118.2267919,12,0,8,670,4,0.982708934,990,59652,10227292,694
Gardena Senior High,33.8669539,-118.2962367,22,61,335,879,46,0.983618764,990,91176,17347614,1343
George Washington Preparatory Senior High,33.9367230,-118.3028041,10,2,254,441,31,0.986449864,950,71664,11150666,738
Grover Cleveland Charter High School,34.2188825,-118.5483479,454,302,83,1734,146,0.833026848,1200,80143,25193064,2719
Helen Bernstein Senior High,34.0950609,-118.3139218,36,25,26,600,16,0.948790896,1020,61349,10422597,703
Hollywood Senior High,34.0990994,-118.3402578,133,46,143,673,30,0.870243902,1080,61349,12225014,1025
Huntington Park Senior High,33.9866067,-118.2188373,17,6,11,1435,10,0.988505747,970,64766,17340796,1479
James A Garfield Senior High,34.0255273,-118.1578352,29,4,11,2182,11,0.987036209,1040,67967,21845237,2237
James Monroe Senior High,34.2375355,-118.4780514,66,54,40,1717,28,0.965354331,1030,81430,22976567,1905
John C Fremont Senior High,33.9698170,-118.2690336,33,1,134,1691,30,0.982530439,950,56030,26448542,1889
John F Kennedy Senior High,34.2752836,-118.4881247,258,145,28,1674,47,0.880111524,1110,119345,24795479,2152
John H Francis Polytechnic Senior High,34.2240571,-118.4049756,86,75,22,1918,23,0.959510358,1080,78239,26538630,2124
John Marshall Senior High,34.1079934,-118.2774203,345,251,35,1122,89,0.812703583,1200,94521,18826964,1842
Jordan Senior High,33.9441524,-118.2310474,21,1,142,628,5,0.973651192,950,59021,9932248,797
Legacy Senior High Sci Tech Engineering Arts Math,33.9414098,-118.1789215,11,0,0,510,3,0.979007634,980,74651,5594755,524
Linda Esperanza Marquez Senior High Libra Academy,33.9819366,-118.2339205,17,0,0,594,4,0.972357724,1010,64766,7426502,615
Los Angeles Senior High,34.0560034,-118.3331360,27,31,83,827,10,0.972392638,1020,73934,12829630,978
Manual Arts Senior High,34.0083039,-118.2920976,11,5,131,835,19,0.989010989,980,57622,11516697,1001
Maywood Academy Senior High,33.9829865,-118.1887444,19,2,2,985,4,0.981225296,980,61165,11516697,1012
Mervyn M Dymally Senior High,33.9576080,-118.2690752,6,0,124,516,8,0.990825688,1000,56030,10083698,654
Middle College High School,33.9299681,-118.3072250,4,1,83,265,8,0.988919668,1080,71664,4586158,361
Miguel Contreras Learning Complex - Acdemic Ldrshp Community,34.0579738,-118.2614407,9,10,4,365,4,0.977040816,940,52717,6704547,392
Nathaniel Narbonne Senior High,33.8031729,-118.3055534,47,87,283,1067,65,0.969657844,1050,82478,16904623,1549
Nava College Preparatory Academy,34.0096058,-118.2511985,6,1,18,572,1,0.989966555,970,59017,6896227,598
North Hollywood Senior High,34.1657720,-118.3881986,502,283,60,1480,119,0.794599018,1250,79607,21197099,2444
Northridge Academy Senior High,34.2451844,-118.5240400,98,52,25,623,34,0.882211538,1060,87168,8691190,832
Panorama Senior High,34.2171878,-118.4495669,39,52,15,1200,10,0.970364742,1050,57369,18179617,1316
Phineas Banning Senior High,33.7945109,-118.2613593,47,28,40,2277,30,0.98059455,1000,60847,28361786,2422
Ramon C Cortines School of Visual & Performing Arts,34.0598540,-118.2442214,167,59,68,769,39,0.84845735,1080,66860,10641950,1102
Rancho Dominguez Preparatory School Law/Gov/Pub Serv Magnet,33.8335020,-118.2158476,20,37,147,464,33,0.97146933,1010,84350,8845470,701
Reseda Charter HS Science Magnet,34.1899822,-118.5305273,171,87,44,1002,35,0.872292756,1100,80143,15584400,1339
San Fernando Senior High,34.2716146,-118.4419490,31,7,17,1540,13,0.980721393,1020,85261,19105553,1608
San Pedro Senior High,33.7295387,-118.3006310,342,89,198,1643,126,0.857381151,1110,76395,23601695,2398
Santee Education Complex,34.0289256,-118.2624969,18,4,65,1484,11,0.988621997,950,59017,18692227,1582
South East Senior High,33.9453530,-118.2228746,31,1,28,1924,6,0.984422111,1040,74651,25052228,1990
South Gate Senior High,33.9551068,-118.2098863,30,6,11,1627,7,0.98215348,1020,74651,20935838,1681
Susan Miller Dorsey Senior High,34.0228222,-118.3464053,17,0,361,451,24,0.98007034,970,73516,10749219,853
Sylmar Charter High School,34.3073419,-118.4420247,29,11,19,1392,12,0.980177717,1050,98118,17398836,1463
Theodore Roosevelt Senior High,34.0393697,-118.2098691,41,2,13,1617,5,0.97556615,950,59652,16990028,1678
Thomas Jefferson Senior High,34.0096058,-118.2511985,15,2,32,505,10,0.973404255,910,59017,8821062,564
Ulysses S Grant Senior High,34.1773702,-118.4163793,659,43,60,942,70,0.628523112,1090,79552,22699509,1774
University High School Charter,34.0455361,-118.4608907,162,83,296,789,55,0.883032491,1120,103894,13532655,1385
Valley Academy of Arts and Sciences,34.2600321,-118.5029047,170,70,21,470,26,0.775429326,1060,119345,7800752,757
Van Nuys Senior High,34.1890497,-118.4550291,228,239,58,1383,61,0.88420518,1200,74617,24213642,1969
Venice Senior High,33.9975033,-118.4438659,448,161,267,1218,199,0.804622765,1200,114141,21752971,2293
Verdugo Hills Senior High,34.2617665,-118.2985722,347,43,15,765,25,0.709623431,1120,85603,12005344,1195
West Adams Preparatory Senior High,34.0397382,-118.2897125,19,3,43,872,5,0.979830149,970,35378,12289950,942
William Howard Taft Charter High School,34.1695870,-118.5717119,881,227,132,867,114,0.603331833,1220,132854,16680428,2221
Woodrow Wilson Senior High,34.0698543,-118.1864545,33,28,15,1177,7,0.973809524,1030,82292,14603875,1260
